SurgicalService,Name,axa_name,axa_severity,protocolised_adm
Colorectal Surgery,ANTERIOR RESECTION OF RECTUM AND ANASTOMOSIS OF COLON TO RECTUM USING STAPLES,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
Gynaecology,ANTERIOR RESECTION OF RECTUM AND ANASTOMOSIS OF COLON TO RECTUM USING STAPLES,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
General Surgery,ANTERIOR RESECTION OF RECTUM AND ANASTOMOSIS OF COLON TO RECTUM USING STAPLES,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
Urology,ANTERIOR RESECTION OF RECTUM AND ANASTOMOSIS OF COLON TO RECTUM USING STAPLES,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
General Surgery,ANTERIOR RESECTION OF RECTUM AND TOTAL EXCISION OF MESORECTUM,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
General Surgery,ANTERIOR RESECTION OF RECTUM AND TOTAL MESORECTAL EXCISION WITH COLOSTOMY,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
General Surgery,ANTERIOR RESECTION OF RECTUM WITH ANASTOMOSIS,Anterior resection - low (ie colorectal anastomosis at or below the peritoneal reflection,Complex,No
Orthopaedics,ANTERIOR TIBIALIS TENDON TRANSFER FOR REPAIR OF FLAT FOOT,Transfer of tendon (not otherwise specified),Intermediate,No
Head and Neck,ANTERIOR TRACHEOSTOMY,Tracheostomy,Intermediate,Yes
Orthopaedics,ANTERIOR TRANSPOSITION OF ULNAR NERVE,Release of entrapment of peripheral nerve,Intermediate,No
Thoracic Surgery,ANTEROLATERAL THORACOTOMY,Exploratory thoracotomy,Major,Yes
Thoracic Surgery,APICECTOMY LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
,APICECTOMY LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
,APPENDICECTOMY,Appendicectomy,Intermediate,No
General Surgery,APPENDICECTOMY,Appendicectomy,Major,No
General Surgery,APPENDICOVESICOSTOMY,Construction of ileal conduit including ureteric implantation,Xmajor,No
Orthopaedics,ARTHRECTOMY OF SHOULDER,Excision reconstruction of large joint,Major,No
Orthopaedics,ARTHRODESIS,Excision reconstruction of large joint,Major,No
Orthopaedics,ARTHRODESIS OF ANKLE,Triple fusion of joints of hindfoot without autogenous graft,Major,No
Orthopaedics,ARTHRODESIS OF FINGER,Fusion of digit joint(s) of hand with or without graft and with or without internal fixation,Intermediate,No
Orthopaedics,ARTHRODESIS OF FIRST METATARSOPHALANGEAL JOINT,Fusion of first metatarso-phalangeal joint,Intermediate,No
Orthopaedics,ARTHRODESIS OF FIRST TARSOMETATARSAL JOINT,Isolated sub talar fusion or mid foot fusion without autogenous graft (adult),Major,No
Orthopaedics,ARTHRODESIS OF FOOT,Isolated sub talar fusion or mid foot fusion without autogenous graft (adult),Major,No
Orthopaedics,ARTHRODESIS OF HINDFOOT JOINT,Triple fusion of joints of hindfoot without autogenous graft,Major,No
Orthopaedics,ARTHRODESIS OF INTERPHALANGEAL JOINT OF GREAT TOE,Fusion of interphalangeal joint(s) of toe (including internal fixation),Intermediate,No
Orthopaedics,ARTHRODESIS OF INTERPHALANGEAL JOINT OF LESSER TOE,Fusion of interphalangeal joint(s) of toe (including internal fixation),Intermediate,No
,ARTHRODESIS OF INTERPHALANGEAL JOINT OF LESSER TOE,Fusion of interphalangeal joint(s) of toe (including internal fixation),Intermediate,No
Orthopaedics,ARTHRODESIS OF SHOULDER,Primary arthrodesis of joint with or without graft and with or without internal fixation – shoulder,Major,No
Orthopaedics,ARTHROLYSIS,"Arthrotomy of large joint, including removal of loose body from joint",Intermediate,No
Orthopaedics,ARTHROLYSIS AFTER TOTAL PROSTHETIC REPLACEMENT OF KNEE JOINT,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROPLASTY OF HIP JOINT USING CEMENT,Primary total hip replacement with or without cement,Xmajor,No
Orthopaedics,ARTHROPLASTY OF HIP WITHOUT CEMENT,Primary total hip replacement with or without cement,Xmajor,No
Orthopaedics,ARTHROPLASTY OF KNEE,"Total prosthetic replacement of knee joint, with or without cement, +/– patella",Xmajor,No
Orthopaedics,"ARTHROPLASTY OF KNEE, CONDYLE AND PLATEAU, MEDIAL COMPARTMENT","Total prosthetic replacement of knee joint, with or without cement, +/– patella",Xmajor,No
Orthopaedics,ARTHROPLASTY OF LEFT SHOULDER,Primary total shoulder replacement,Xmajor,No
Orthopaedics,ARTHROPLASTY OF PATELLA,Prosthetic replacement of Patellofemoral joint - bilateral (as sole procedure),Xmajor,No
Orthopaedics,ARTHROPLASTY OF PATELLA WITH PROSTHESIS,Prosthetic replacement of Patellofemoral joint - bilateral (as sole procedure),Xmajor,No
Orthopaedics,ARTHROPLASTY OF RADIAL HEAD,Excision of radial head (as sole procedure),Major,No
Orthopaedics,ARTHROPLASTY OF RIGHT SHOULDER,Primary total shoulder replacement,Xmajor,No
Orthopaedics,ARTHROPLASTY OF SHOULDER,Primary total shoulder replacement,Xmajor,No
Orthopaedics,ARTHROSCOPIC CAPSULAR RELEASE OF SHOULDER JOINT,Therapeutic arthroscopy of shoulder (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPIC DEBRIDEMENT OF KNEE JOINT,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROSCOPIC DECOMPRESSION OF SUBACROMIAL JOINT,Arthroscopic sub acromial decompression and rotator cuff repair (including arthroscopic procedures in glenohumeral joint),Major,No
,ARTHROSCOPIC IRRIGATION OF JOINT,Therapeutic arthroscopy operation on cavity of joint (not otherwise specified) (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPIC KNEE OPERATION,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROSCOPIC PARTIAL MEDIAL MENISCECTOMY,Arthroscopic meniscectomy (including debridement),Major,No
,ARTHROSCOPIC PRIMARY REDUCTION AND FIXATION OF FRACTURE OF NECK OF FEMUR USING DYNAMIC HIP SCREW,Primary reduction of fracture of neck of femur and internal fixation,Xmajor,No
Orthopaedics,ARTHROSCOPIC PROCEDURE,Therapeutic arthroscopic operation on cavity of joint (not otherwise specified) (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPIC REPAIR OF ROTATOR CUFF,Arthroscopic sub acromial decompression and rotator cuff repair (including arthroscopic procedures in glenohumeral joint),Major,No
Orthopaedics,ARTHROSCOPIC TRIMMING OF LATERAL MENISCUS,Arthroscopic meniscectomy (including debridement),Major,No
Orthopaedics,ARTHROSCOPIC TRIMMING OF MEDIAL MENISCUS,Arthroscopic meniscectomy (including debridement),Major,No
Orthopaedics,ARTHROSCOPIC TRIMMING OF MENISCUS,Arthroscopic meniscectomy (including debridement),Major,No
,ARTHROSCOPIC WASHOUT OF KNEE JOINT,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROSCOPICALLY AIDED ANTERIOR CRUCIATE LIGAMENT AUGMENTATION,Allograft anterior cruciate ligament reconstruction,Xmajor,No
Orthopaedics,ARTHROSCOPICALLY AIDED ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION,Allograft anterior cruciate ligament reconstruction,Xmajor,No
Orthopaedics,ARTHROSCOPY,Therapeutic arthroscopy operation on cavity of joint (not otherwise specified) (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPY AND BIOPSY OF KNEE,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
,ARTHROSCOPY AND BIOPSY OF KNEE,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROSCOPY OF ANKLE,"Multiple arthroscopic operations on ankle (including soft tissue, bony and/or joint surface procedures with ligament reconstruction).",Major,No
Orthopaedics,ARTHROSCOPY OF HIP,"Therapeutic arthroscopy examination of hip joint, +/- biopsy",Xmajor,No
,ARTHROSCOPY OF HIP,"Therapeutic arthroscopy examination of hip joint, +/- biopsy",Xmajor,No
Orthopaedics,ARTHROSCOPY OF HIP WITH SYNOVECTOMY,"Therapeutic arthroscopy examination of hip joint, +/- biopsy",Xmajor,No
Orthopaedics,ARTHROSCOPY OF KNEE,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Orthopaedics,ARTHROSCOPY OF KNEE WITH MEDIAL MENISCUS REPAIR,Arthroscopic meniscectomy (including debridement),Major,No
Orthopaedics,ARTHROSCOPY OF KNEE WITH MENISCUS REPAIR,Arthroscopic meniscectomy (including debridement),Major,No
Orthopaedics,ARTHROSCOPY OF SHOULDER,Therapeutic arthroscopy of shoulder (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPY OF SHOULDER WITH EXCISION OF DISTAL CLAVICLE,Arthroscopic sub-acromial decompression and excision of distal clavicle (including arthroscopic procedures in glenohumeral joint),Major,No
Orthopaedics,ARTHROSCOPY OF SHOULDER WITH EXTENSIVE DEBRIDEMENT,Therapeutic arthroscopy of shoulder (as sole procedure),Major,No
Orthopaedics,ARTHROSCOPY OF SHOULDER WITH PARTIAL SYNOVECTOMY,Therapeutic arthroscopy of shoulder (as sole procedure),Major,No
Maxillo-Facial Surgery,ARTHROSCOPY OF TEMPOROMANDIBULAR JOINT,Therapeutic arthroscopic operation of temporomandibular joint +/- lysis and/or lavage -unilateral,Intermediate,No
Orthopaedics,ARTHROTOMY OF JOINT OF SHOULDER GIRDLE,Open arthrolysis of shoulder contracture +/- manipulation/injection,Major,No
Orthopaedics,ARTHROTOMY OF KNEE WITH JOINT EXPLORATION AND BIOPSY,"Arthroscopy of knee (including examination under anaesthetic, washout and biopsy) (as sole procedure)",Intermediate,No
Gynaecology,ASPIRATION CURETTAGE OF UTERUS FOR TERMINATION OF PREGNANCY,Manual vacuum aspiration of retained products of conception,Minor,No
Obstetrics,ASPIRATION CURETTAGE OF UTERUS FOR TERMINATION OF PREGNANCY,Hysteroscopic Removal Of Retained Products Of Conception,Major,No
Bone Marrow Harvest,ASPIRATION OF BONE MARROW FROM DONOR FOR TRANSPLANT,-,Minor,No
,ASPIRATION OF JOINT,"Injection(s) +/- aspiration, into joint, cyst, bursa with image guidance",Minor,No
Orthopaedics,ASPIRATION OF JOINT,-,Minor,No
Bariatrics,ATTENTION TO CONNECTION OF STOMACH TO TRANSPOSED JEJUNUM,Gastro–jejunostomy,Major,No
Paediatric ENT,ATTICOANTROSTOMY OF EAR,Intranasal antrostomy including endoscopic and antral washout (including bilateral),Intermediate,No
ENT,ATTICOANTROSTOMY OF EAR,Middle ear tumour excision,Major,No
ENT,ATTICOTOMY OF EAR,Simple mastoidectomy,Major,No
Urology,AUGMENTATION CYSTOPLASTY,Enlargement of bladder (including cystoscopy),Complex,No
Breast Surgery,AUGMENTATION MAMMOPLASTY,Augmentation Mammoplasty - Unilateral,Major,No
Maxillo-Facial Surgery,AUGMENTATION OF ALVEOLAR RIDGE USING AUTO BONE GRAFT,Alveolar bone graft - unilateral,Intermediate,No
Orthopaedics,AUGMENTATION OF TIBIA,Tibial osteotomy,Major,No
Maxillo-Facial Surgery,AUGMENTATION OSTEOPLASTY OF FACIAL BONES,Reconstruction of jaw (non-vascularised reconstruction),Xmajor,No
Bronchoscopy/Thoracoscopy,AUTOFLUORESCENCE BRONCHOSCOPY AND BIOPSY OF LOWER RESPIRATORY TRACT,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Vascular Surgery,AVULSION OF VARICOSE VEIN OF LEG,Ligation/stripping of long or short saphenous vein (including local excision/multiple phlebectomy),Intermediate,No
Head and Neck,BALLOON DILATATION OF OESOPHAGEAL STRICTURE,Therapeutic oesophago-gastro-duodenoscopy (OGD) with dilatation,Minor,No
Head and Neck,BALLOON DILATATION OF OESOPHAGUS,Therapeutic oesophago-gastro-duodenoscopy (OGD) with dilatation,Minor,No
Orthopaedics,BANKART ANTERIOR STABILISATION OF SHOULDER JOINT,Primary stabilisation of multi-directional instability of shoulder joint +/- tendon repair,Major,No
Head and Neck,BILATERAL ANTRAL WASHOUT,Antral puncture and wash-out (and bilateral),Minor,No
ENT,BILATERAL DISSECTION TONSILLECTOMY,"Tonsillectomy - adult, age 13 + (and bilateral)",Intermediate,No
Urology,BILATERAL EPIDIDYMOVASOSTOMY WITH ANASTOMOSIS OF EPIDIDYMIS TO VAS DEFERENS,Bilateral epididymectomy,Intermediate,No
Upper Gastro-intestinal Surgery,BILATERAL INGUINAL HERNIA REPAIR,Primary repair of inguinal hernia ? bilateral,Major,No
Colorectal Surgery,BILATERAL INGUINAL HERNIA REPAIR,Primary repair of inguinal hernia ? bilateral,Major,No
General Surgery,BILATERAL INGUINAL HERNIA REPAIR,Primary repair of inguinal hernia ? bilateral,Major,No
Breast Surgery,BILATERAL MASTECTOMY,Simple mastectomy (including axillary node biopsy) ? unilateral,Major,No
Head and Neck,BILATERAL MODIFIED RADICAL NECK DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
Urology,BILATERAL ORCHIDOPEXY,Orchidopexy bilateral,Major,No
Head and Neck,BILATERAL RADICAL NECK DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
Bariatrics,"BILATERAL REPAIR OF INGUINAL HERNIA, DIRECT",Primary repair of inguinal hernia ? bilateral,Major,No
Upper Gastro-intestinal Surgery,"BILATERAL REPAIR OF INGUINAL HERNIA, DIRECT AND INDIRECT",Primary repair of inguinal hernia ? bilateral,Major,No
Colorectal Surgery,"BILATERAL REPAIR OF INGUINAL HERNIA, INDIRECT",Primary repair of inguinal hernia ? bilateral,Major,No
Gynaecology,BILATERAL SALPINGECTOMY WITH OOPHORECTOMY,"Laparoscopic oophorectomy and salpingectomy, +/- biopsy eg. omentum, peritoneum, lymph node (as sole procedure) ? unilateral",Major,No
,BILATERAL SALPINGECTOMY WITH OOPHORECTOMY,"Laparoscopic oophorectomy and salpingectomy, +/- biopsy eg. omentum, peritoneum, lymph node (as sole procedure) ? unilateral",Major,No
Gynaecology Oncology,BILATERAL SALPINGECTOMY WITH OOPHORECTOMY,"Laparoscopic oophorectomy and salpingectomy, +/- biopsy eg. omentum, peritoneum, lymph node (as sole procedure) ? unilateral",Major,No
Breast Surgery,BILATERAL SIMPLE MASTECTOMY,Simple mastectomy (including axillary node biopsy) ? unilateral,Major,No
Urology,BILATERAL TOTAL INGUINAL ORCHIDECTOMY,Bilateral excision of testes,Major,No
Urology,BILATERAL VASECTOMY,-,Intermediate,No
Bariatrics,BILIOPANCREATIC BYPASS TO ILEUM WITH PARTIAL GASTRECTOMY,Laparoscopic biliary gastric bypass,Complex,No
Head and Neck,BIOPSY,Shave biopsy of lesion of skin,Minor,No
Thoracic Surgery,BIOPSY,Shave biopsy of lesion of skin,Minor,No
,BIOPSY,Shave biopsy of lesion of skin,Minor,No
Urology,BIOPSY,Shave biopsy of lesion of skin,Minor,No
Maxillo-Facial Surgery,BIOPSY,Shave biopsy of lesion of skin,Minor,No
Head and Neck,BIOPSY OF AXILLARY LYMPH NODE,Biopsy/sampling of cervical lymph nodes,Minor,No
Breast Surgery,BIOPSY OF AXILLARY LYMPH NODE,Sentinel node mapping and sampling with blue dye or radioactive probe for breast cancer,Intermediate,No
Urology,BIOPSY OF BLADDER,Endoscopic Examination of Bladder (Rigid Cystoscopy) Including any Biopsy,Minor,No
Orthopaedics,BIOPSY OF BONE,Open bone biopsy,Intermediate,No
Orthopaedics,BIOPSY OF BONE OF KNEE,Open bone biopsy,Intermediate,No
Head and Neck,BIOPSY OF BONY PALATE,Panendoscopy +/- incisional biopsy,Intermediate,No
General Surgery,BIOPSY OF CERVICAL LYMPH NODE,Biopsy/sampling of cervical lymph nodes,Minor,No
,BIOPSY OF EAR,Biopsy of lesion of pinna (as sole procedure),Minor,No
ENT,BIOPSY OF ETHMOID SINUS,"Diagnostic nasolaryngopharyngoscopy +/- biopsy, +/- cautery as sole procedure",Minor,No
Head and Neck,BIOPSY OF FACIAL BONE,Biopsy of lesion of facial bone,Minor,No
Head and Neck,BIOPSY OF FLOOR OF MOUTH,Biopsy of lesion of mouth,Minor,No
Head and Neck,BIOPSY OF HEAD AND NECK STRUCTURE,Panendoscopy +/- incisional biopsy,Intermediate,No
Urology,BIOPSY OF INGUINAL LYMPH NODE,Sentinel lymph node biopsy for melanoma,Intermediate,No
Orthopaedics,BIOPSY OF JOINT OF HIP,"Diagnostic arthroscopic examination of hip joint including wash-out, with or without biopsy (as sole procedure)",Intermediate,No
Head and Neck,BIOPSY OF LESION OF CHEEK,Shave biopsy of lesion of skin,Minor,No
Thoracic Surgery,BIOPSY OF LESION OF CHEST WALL,Thoracotomy and lung biopsy as sole procedure,Intermediate,Yes
Head and Neck,BIOPSY OF LESION OF FLOOR OF MOUTH,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
Head and Neck,BIOPSY OF LESION OF LIP,Biopsy of lesion of mouth,Minor,No
Thoracic Surgery,BIOPSY OF LESION OF LUNG,Thoracotomy and lung biopsy as sole procedure,Intermediate,Yes
Head and Neck,BIOPSY OF LESION OF MAJOR SALIVARY GLAND,Open biopsy of lesion of salivary gland,Minor,No
Head and Neck,BIOPSY OF LESION OF MANDIBLE,Biopsy of lesion of facial bone,Minor,No
,BIOPSY OF LESION OF MANDIBLE,Biopsy of lesion of facial bone,Minor,No
Head and Neck,BIOPSY OF LESION OF MAXILLARY ANTRUM,Biopsy of lesion of facial bone,Minor,No
Head and Neck,BIOPSY OF LESION OF NASAL MUCOSA,Panendoscopy +/- incisional biopsy,Intermediate,No
ENT,BIOPSY OF LESION OF NASAL SEPTUM,Biopsy of of septum of nose,Minor,No
Head and Neck,BIOPSY OF LESION OF NOSE,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
ENT,BIOPSY OF LESION OF NOSE,Panendoscopy +/- incisional biopsy,Intermediate,No
Head and Neck,BIOPSY OF LESION OF ORAL CAVITY,FIBRE OPTIC EXAMINATION OF THE PHARYNX +/- BIOPSY/REMOVAL OF FOREIGN BODY,Minor,No
Head and Neck,BIOPSY OF LESION OF PALATE,Biopsy of lesion of mouth,Minor,No
Urology,BIOPSY OF LESION OF PENIS,Biopsy of lesion of penis,Minor,No
Head and Neck,BIOPSY OF LESION OF SKIN OF HEAD,Shave biopsy of lesion of skin,Minor,No
Head and Neck,BIOPSY OF LESION OF TONGUE,Excision/destruction of lesion of tongue,Intermediate,No
Gynaecology,BIOPSY OF LESION OF VAGINA,Biopsy of lesion of vagina,Minor,No
Thoracic Surgery,BIOPSY OF LUNG,VATS lung biopsy,Intermediate,Yes
Head and Neck,BIOPSY OF LYMPH NODE,Biopsy/sampling of cervical lymph nodes,Minor,No
Thoracic Surgery,BIOPSY OF LYMPH NODE,Sentinel lymph node biopsy for melanoma,Intermediate,No
Thoracic Surgery,BIOPSY OF MEDIASTINAL LYMPH NODE,Diagnostic mediastinoscopy,Intermediate,Yes
Thoracic Surgery,BIOPSY OF MEDIASTINUM,Diagnostic mediastinoscopy,Intermediate,Yes
Head and Neck,BIOPSY OF MOUTH,Panendoscopy +/- incisional biopsy,Intermediate,No
Head and Neck,BIOPSY OF NASOPHARYNX,Panendoscopy +/- incisional biopsy,Intermediate,No
Head and Neck,BIOPSY OF NOSE,Panendoscopy +/- incisional biopsy,Intermediate,No
Head and Neck,BIOPSY OF OROPHARYNX,Panendoscopy +/- incisional biopsy,Intermediate,No
Colorectal Surgery,BIOPSY OF PELVIC MASS,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Urology,BIOPSY OF PENIS,Biopsy of lesion of penis,Minor,No
Urology,BIOPSY OF PERIANAL LESION,Biopsy of lesion of penis,Minor,No
Thoracic Surgery,BIOPSY OF PLEURA,Open pleural biopsy as sole procedure,Xmajor,Yes
Urology,BIOPSY OF PROSTATE,Endoscopic biopsy of prostate (including cystoscopy),Intermediate,No
,BIOPSY OF PROSTATE,Endoscopic biopsy of prostate (including cystoscopy),Intermediate,No
Urology,BIOPSY OF SCROTAL LESION,Biopsy of testis,Minor,No
Urology,BIOPSY OF SEMINAL VESICLE,Operation(s) on seminal vesicle,Major,No
Breast Surgery,BIOPSY OF SENTINEL LYMPH NODE OF BREAST,Sentinel node mapping and sampling with blue dye or radioactive probe for breast cancer,Intermediate,No
,BIOPSY OF SKELETAL MUSCLE,-,Minor,No
Urology,BIOPSY OF SKIN AND/OR SUBCUTANEOUS TISSUE,Shave biopsy of lesion of skin,Minor,No
Head and Neck,BIOPSY OF SOFT PALATE,Biopsy of lesion of mouth,Minor,No
Orthopaedics,"BIOPSY OF SOFT TISSUE OF ELBOW AREA, DEEP",Open biopsy of muscle or soft tissue lesion,Minor,No
Urology,BIOPSY OF SPERMATIC CORD,Biopsy of testis,Minor,No
